"respondent_id","age_group","gender","education","region","completion_time_sec","attention_check","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","flag_duplicate_id","flag_fast_response","item_missing_rate","flag_high_missingness","unique_likert_values","flag_straight_lining","flag_attention_check_failed","quality_flag_count","exclude_from_analysis"
"R00001","18-29","Male","Some college","Midwest",182,"Correct",4,1,5,4,3,4,3,4,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00002","18-29","Male","Bachelor's","Northeast",314,"Correct",4,2,4,4,4,5,3,5,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00003","30-44","Male","Bachelor's","Midwest",408,"Correct",5,3,4,4,4,4,4,4,3,3,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00004","30-44","Female","Bachelor's","Midwest",287,"Correct",4,3,2,1,4,3,3,4,5,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00005","18-29","Male","Bachelor's","South",907,"Correct",5,3,4,4,2,5,3,3,5,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00006","30-44","Female","Bachelor's","West",468,"Correct",3,4,4,4,5,4,2,3,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00007","18-29","Female","High school or less","Northeast",273,"Correct",3,4,4,3,2,3,3,4,5,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00008","45-64","Male","High school or less","South",324,"Correct",3,4,2,NA,4,4,1,5,4,5,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00009","30-44","Male","High school or less","South",237,"Correct",2,2,3,3,2,NA,3,5,2,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00010","18-29","Female","Graduate","South",40,"Correct",4,NA,4,4,4,5,4,4,1,4,FALSE,TRUE,0.1,FALSE,3,FALSE,FALSE,1,FALSE
"R00011","30-44","Male","Graduate","South",783,"Correct",4,4,4,1,4,4,2,NA,3,5,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00012","18-29","Female","Some college","West",254,"Correct",3,4,5,5,4,4,2,3,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00013","30-44","Male","Some college","South",604,"Correct",4,3,3,3,4,4,3,4,4,3,FALSE,FALSE,0,FALSE,2,FALSE,FALSE,0,FALSE
"R00014","45-64","Female","Some college","South",374,"Correct",5,5,3,3,4,3,4,4,4,4,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00015","30-44","Male","Graduate","Midwest",174,"Correct",NA,3,3,1,5,4,3,4,4,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00016","30-44","Male","Bachelor's","Northeast",279,"Correct",2,1,3,5,5,4,3,5,1,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00017","18-29","Male","Bachelor's","South",52,"Correct",4,3,2,5,4,3,3,3,3,2,FALSE,TRUE,0,FALSE,4,FALSE,FALSE,1,FALSE
"R00018","30-44","Female","Bachelor's","Midwest",1215,"Correct",5,3,3,4,4,3,4,4,2,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00019","30-44","Other","Bachelor's","Northeast",493,"Correct",4,2,5,3,3,5,3,1,2,NA,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00020","30-44","Female","High school or less","South",465,"Correct",3,4,1,1,2,3,5,4,5,NA,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00021","30-44","Male","High school or less","Midwest",433,"Correct",4,4,5,5,3,5,3,4,2,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00022","30-44","Male","Some college","South",491,"Correct",5,1,5,4,4,2,2,1,5,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00023","30-44","Male","Bachelor's","South",366,"Correct",3,3,5,4,1,2,1,3,3,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00024","30-44","Male","High school or less","South",346,"Correct",1,5,2,4,4,5,3,3,4,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00025","18-29","Male","Some college","South",264,"Correct",2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE
"R00026","30-44","Female","Graduate","Midwest",390,"Correct",3,4,4,5,5,4,3,3,3,3,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00027","18-29","Male","High school or less","South",406,"Correct",5,2,5,3,NA,NA,4,5,3,5,FALSE,FALSE,0.2,FALSE,4,FALSE,FALSE,0,FALSE
"R00028","30-44","Male","Bachelor's","South",254,"Correct",4,4,3,4,2,5,3,4,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00029","30-44","Male","Some college","West",466,"Correct",5,3,5,2,5,4,4,4,3,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00030","18-29","Female","High school or less","South",207,"Correct",NA,4,4,5,4,2,3,4,4,2,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00031","45-64","Male","Bachelor's","South",492,"Correct",5,3,4,NA,5,4,4,5,5,4,FALSE,FALSE,0.1,FALSE,3,FALSE,FALSE,0,FALSE
"R00032","30-44","Female","High school or less","Northeast",415,"Correct",3,5,5,4,4,3,3,4,3,4,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00033","45-64","Female","Bachelor's","Midwest",709,"Correct",4,4,5,3,4,2,3,4,2,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00034","30-44","Female","Graduate","South",431,"Correct",4,1,3,2,4,2,3,4,4,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00035","18-29","Female","Some college","South",25,"Correct",4,1,3,3,NA,5,4,3,3,5,FALSE,TRUE,0.1,FALSE,4,FALSE,FALSE,1,FALSE
"R00036","18-29","Male","Bachelor's","South",950,"Correct",2,3,4,4,4,4,5,2,4,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00038","18-29","Male","Bachelor's","South",692,"Correct",5,4,3,1,5,4,5,3,4,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00039","45-64","Male","High school or less","Midwest",356,"Correct",3,4,4,3,1,4,4,2,3,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00040","18-29","Female","Bachelor's","South",319,"Correct",1,3,4,5,5,3,1,4,2,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00041","18-29","Female","Bachelor's","Northeast",367,"Correct",4,4,NA,3,4,2,4,4,1,3,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00042","45-64","Male","Bachelor's","West",258,"Correct",1,4,3,2,5,2,2,2,4,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00043","18-29","Female","Some college","Midwest",474,"Correct",4,4,1,2,3,3,4,3,1,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
