"respondent_id","age_group","gender","education","region","completion_time_sec","attention_check","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","flag_duplicate_id","flag_fast_response","item_missing_rate","flag_high_missingness","unique_likert_values","flag_straight_lining","flag_attention_check_failed","quality_flag_count","exclude_from_analysis","weight_raw","weight_trimmed"
"R00001","18-29","Male","Some college","Midwest",182,"Correct",4,1,5,4,3,4,3,4,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.641697820079447,0.641697820079447
"R00002","18-29","Male","Bachelor's","Northeast",314,"Correct",4,2,4,4,4,5,3,5,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.473343521394948,0.473343521394948
"R00003","30-44","Male","Bachelor's","Midwest",408,"Correct",5,3,4,4,4,4,4,4,3,3,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE,0.537184555297954,0.537184555297954
"R00004","30-44","Female","Bachelor's","Midwest",287,"Correct",4,3,2,1,4,3,3,4,5,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.401560799478044,0.401560799478044
"R00005","18-29","Male","Bachelor's","South",907,"Correct",5,3,4,4,2,5,3,3,5,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.473343521394948,0.473343521394948
"R00006","30-44","Female","Bachelor's","West",468,"Correct",3,4,4,4,5,4,2,3,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.401560799478044,0.401560799478044
"R00007","18-29","Female","High school or less","Northeast",273,"Correct",3,4,4,3,2,3,3,4,5,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.822173273538629,0.822173273538629
"R00008","45-64","Male","High school or less","South",324,"Correct",3,4,2,NA,4,4,1,5,4,5,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE,2.42589945376964,2.42589945376964
"R00009","30-44","Male","High school or less","South",237,"Correct",2,2,3,3,2,NA,3,5,2,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,1.24819558712073,1.24819558712073
"R00010","18-29","Female","Graduate","South",40,"Correct",4,NA,4,4,4,5,4,4,1,4,FALSE,TRUE,0.1,FALSE,3,FALSE,FALSE,1,FALSE,0.431030496924718,0.431030496924718
"R00011","30-44","Male","Graduate","South",783,"Correct",4,4,4,1,4,4,2,NA,3,5,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE,0.65437588582793,0.65437588582793
"R00012","18-29","Female","Some college","West",254,"Correct",3,4,5,5,4,4,2,3,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.479687450268365,0.479687450268365
"R00013","30-44","Male","Some college","South",604,"Correct",4,3,3,3,4,4,3,4,4,3,FALSE,FALSE,0,FALSE,2,FALSE,FALSE,0,FALSE,0.728245222622209,0.728245222622209
"R00014","45-64","Female","Some college","South",374,"Correct",5,5,3,3,4,3,4,4,4,4,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE,1.05802417397455,1.05802417397455
"R00015","30-44","Male","Graduate","Midwest",174,"Correct",NA,3,3,1,5,4,3,4,4,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,0.65437588582793,0.65437588582793
"R00016","30-44","Male","Bachelor's","Northeast",279,"Correct",2,1,3,5,5,4,3,5,1,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.537184555297954,0.537184555297954
"R00017","18-29","Male","Bachelor's","South",52,"Correct",4,3,2,5,4,3,3,3,3,2,FALSE,TRUE,0,FALSE,4,FALSE,FALSE,1,FALSE,0.473343521394948,0.473343521394948
"R00018","30-44","Female","Bachelor's","Midwest",1215,"Correct",5,3,3,4,4,3,4,4,2,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.401560799478044,0.401560799478044
"R00019","30-44","Other","Bachelor's","Northeast",493,"Correct",4,2,5,3,3,5,3,1,2,NA,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE,0.148961942279744,0.201943301883613
"R00020","30-44","Female","High school or less","South",465,"Correct",3,4,1,1,2,3,5,4,5,NA,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE,0.933061855419799,0.933061855419799
"R00021","30-44","Male","High school or less","Midwest",433,"Correct",4,4,5,5,3,5,3,4,2,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,1.24819558712073,1.24819558712073
"R00022","30-44","Male","Some college","South",491,"Correct",5,1,5,4,4,2,2,1,5,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.728245222622209,0.728245222622209
"R00023","30-44","Male","Bachelor's","South",366,"Correct",3,3,5,4,1,2,1,3,3,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.537184555297954,0.537184555297954
"R00024","30-44","Male","High school or less","South",346,"Correct",1,5,2,4,4,5,3,3,4,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,1.24819558712073,1.24819558712073
"R00025","18-29","Male","Some college","South",264,"Correct",2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE,0.641697820079447,0.641697820079447
"R00026","30-44","Female","Graduate","Midwest",390,"Correct",3,4,4,5,5,4,3,3,3,3,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE,0.489164666557602,0.489164666557602
"R00027","18-29","Male","High school or less","South",406,"Correct",5,2,5,3,NA,NA,4,5,3,5,FALSE,FALSE,0.2,FALSE,4,FALSE,FALSE,0,FALSE,1.09985532675945,1.09985532675945
"R00028","30-44","Male","Bachelor's","South",254,"Correct",4,4,3,4,2,5,3,4,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.537184555297954,0.537184555297954
"R00029","30-44","Male","Some college","West",466,"Correct",5,3,5,2,5,4,4,4,3,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.728245222622209,0.728245222622209
"R00030","18-29","Female","High school or less","South",207,"Correct",NA,4,4,5,4,2,3,4,4,2,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,0.822173273538629,0.822173273538629
"R00031","45-64","Male","Bachelor's","South",492,"Correct",5,3,4,NA,5,4,4,5,5,4,FALSE,FALSE,0.1,FALSE,3,FALSE,FALSE,0,FALSE,1.04403166676533,1.04403166676533
"R00032","30-44","Female","High school or less","Northeast",415,"Correct",3,5,5,4,4,3,3,4,3,4,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE,0.933061855419799,0.933061855419799
"R00033","45-64","Female","Bachelor's","Midwest",709,"Correct",4,4,5,3,4,2,3,4,2,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.78044349311969,0.78044349311969
"R00034","30-44","Female","Graduate","South",431,"Correct",4,1,3,2,4,2,3,4,4,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.489164666557602,0.489164666557602
"R00035","18-29","Female","Some college","South",25,"Correct",4,1,3,3,NA,5,4,3,3,5,FALSE,TRUE,0.1,FALSE,4,FALSE,FALSE,1,FALSE,0.479687450268365,0.479687450268365
"R00036","18-29","Male","Bachelor's","South",950,"Correct",2,3,4,4,4,4,5,2,4,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.473343521394948,0.473343521394948
"R00038","18-29","Male","Bachelor's","South",692,"Correct",5,4,3,1,5,4,5,3,4,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.473343521394948,0.473343521394948
"R00039","45-64","Male","High school or less","Midwest",356,"Correct",3,4,4,3,1,4,4,2,3,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,2.42589945376964,2.42589945376964
"R00040","18-29","Female","Bachelor's","South",319,"Correct",1,3,4,5,5,3,1,4,2,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.353837803050166,0.353837803050166
"R00041","18-29","Female","Bachelor's","Northeast",367,"Correct",4,4,NA,3,4,2,4,4,1,3,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,0.353837803050166,0.353837803050166
"R00042","45-64","Male","Bachelor's","West",258,"Correct",1,4,3,2,5,2,2,2,4,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,1.04403166676533,1.04403166676533
"R00043","18-29","Female","Some college","Midwest",474,"Correct",4,4,1,2,3,3,4,3,1,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.479687450268365,0.479687450268365
"R00044","18-29","Male","Some college","Northeast",494,"Correct",1,4,2,1,5,5,2,1,5,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.641697820079447,0.641697820079447
"R00045","30-44","Female","Some college","West",248,"Correct",NA,3,2,3,1,2,4,5,4,5,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE,0.544384105849878,0.544384105849878
"R00046","30-44","Male","Graduate","South",418,"Correct",3,3,3,4,5,3,2,1,4,4,TRUE,FALSE,0,FALSE,5,FALSE,FALSE,1,FALSE,0.65437588582793,0.65437588582793
"R00047","65+","Female","Graduate","South",535,"Correct",1,4,3,3,4,5,1,5,3,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,1.82592763301113,1.82592763301113
"R00048","30-44","Female","High school or less","West",311,"Correct",3,2,3,2,5,4,3,5,NA,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,0.933061855419799,0.933061855419799
"R00049","18-29","Female","Graduate","West",242,"Correct",4,2,5,5,4,4,5,2,4,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.431030496924718,0.431030496924718
"R00050","30-44","Female","Bachelor's","West",457,"Correct",NA,2,4,1,5,1,4,3,2,3,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE,0.401560799478044,0.401560799478044
"R00051","65+","Male","Bachelor's","Midwest",204,"Correct",5,3,5,2,5,4,5,5,5,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,2.00517369835384,2.00517369835384
"R00052","18-29","Female","Graduate","South",850,"Correct",4,1,2,4,4,2,5,2,1,NA,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,0.431030496924718,0.431030496924718
"R00053","65+","Female","Some college","Northeast",401,"Correct",NA,4,5,5,4,4,2,3,1,4,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE,2.03204779453607,2.03204779453607
"R00054","45-64","Female","High school or less","West",246,"Correct",1,1,3,NA,4,5,5,5,4,2,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE,1.81342913622818,1.81342913622818
"R00055","18-29","Male","Graduate","South",335,"Correct",1,1,4,5,1,3,3,3,5,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.576607393229926,0.576607393229926
"R00056","45-64","Female","Bachelor's","Midwest",646,"Correct",2,2,2,3,4,4,2,5,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.78044349311969,0.78044349311969
"R00057","45-64","Female","Some college","West",366,"Correct",4,2,3,5,4,4,4,5,NA,5,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,1.05802417397455,1.05802417397455
"R00058","30-44","Male","Bachelor's","Northeast",408,"Correct",2,4,4,3,5,4,4,5,4,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.537184555297954,0.537184555297954
"R00059","65+","Female","High school or less","South",599,"Correct",4,5,2,5,2,4,4,4,4,5,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE,3.482883253014,3.482883253014
"R00060","30-44","Female","Graduate","Northeast",718,"Correct",5,3,1,3,4,4,1,3,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.489164666557602,0.489164666557602
"R00061","30-44","Male","Bachelor's","Midwest",343,"Correct",4,5,1,4,5,3,4,4,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.537184555297954,0.537184555297954
"R00062","45-64","Male","Bachelor's","Midwest",571,"Correct",3,2,4,4,3,2,3,NA,4,5,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,1.04403166676533,1.04403166676533
"R00063","18-29","Male","Graduate","Midwest",421,"Correct",4,2,4,5,3,4,1,4,4,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.576607393229926,0.576607393229926
"R00064","18-29","Female","High school or less","South",486,"Correct",NA,3,5,5,2,1,3,4,4,5,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE,0.822173273538629,0.822173273538629
"R00065","18-29","Female","High school or less","Midwest",510,"Correct",4,5,3,3,3,5,2,3,5,1,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.822173273538629,0.822173273538629
"R00066","30-44","Male","Bachelor's","Northeast",561,"Correct",3,2,4,5,4,3,4,3,5,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.537184555297954,0.537184555297954
"R00067","18-29","Female","Bachelor's","South",482,"Correct",4,2,3,4,4,1,5,2,5,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.353837803050166,0.353837803050166
"R00068","18-29","Female","Bachelor's","West",348,"Correct",1,3,3,NA,5,3,3,3,1,3,FALSE,FALSE,0.1,FALSE,3,FALSE,FALSE,0,FALSE,0.353837803050166,0.353837803050166
"R00069","18-29","Male","Some college","West",517,"Correct",4,2,2,4,4,2,1,4,5,1,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.641697820079447,0.641697820079447
"R00070","18-29","Female","Some college","Midwest",477,"Correct",2,5,1,2,3,4,5,3,3,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.479687450268365,0.479687450268365
"R00071","45-64","Male","Bachelor's","West",537,"Correct",NA,3,3,4,4,4,2,3,1,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,1.04403166676533,1.04403166676533
"R00072","18-29","Male","High school or less","Midwest",365,"Correct",3,2,3,2,4,4,5,5,NA,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,1.09985532675945,1.09985532675945
"R00073","45-64","Male","Some college","Midwest",506,"Correct",3,2,4,1,3,1,1,1,5,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,1.41536286940797,1.41536286940797
"R00074","45-64","Male","High school or less","South",362,"Incorrect",5,4,3,3,3,4,4,4,3,NA,FALSE,FALSE,0.1,FALSE,3,FALSE,TRUE,1,FALSE,2.42589945376964,2.42589945376964
"R00075","30-44","Male","Some college","South",485,"Correct",2,4,3,2,1,4,4,5,2,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.728245222622209,0.728245222622209
"R00076","18-29","Female","High school or less","Midwest",269,"Correct",4,4,5,1,1,3,4,3,NA,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,0.822173273538629,0.822173273538629
"R00077","45-64","Female","Some college","Northeast",1219,"Correct",3,3,4,3,5,4,4,3,3,4,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE,1.05802417397455,1.05802417397455
"R00078","18-29","Male","Bachelor's","South",467,"Correct",2,3,2,5,3,2,2,5,3,1,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.473343521394948,0.473343521394948
"R00079","30-44","Female","High school or less","South",406,"Correct",4,4,2,2,2,2,4,5,NA,3,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,0.933061855419799,0.933061855419799
"R00080","45-64","Female","Bachelor's","South",216,"Correct",4,3,4,4,4,2,5,1,4,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.78044349311969,0.78044349311969
"R00081","30-44","Other","Some college","Midwest",410,"Correct",3,2,2,3,4,2,4,2,1,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.201943301883613,0.201943301883613
"R00082","65+","Female","High school or less","South",484,"Correct",4,3,4,3,4,4,4,3,1,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,3.482883253014,3.482883253014
"R00083","45-64","Male","Bachelor's","West",501,"Correct",3,3,4,4,4,5,4,3,3,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,1.04403166676533,1.04403166676533
"R00084","65+","Female","Some college","Northeast",410,"Correct",1,3,1,4,1,3,5,1,4,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,2.03204779453607,2.03204779453607
"R00085","30-44","Female","Bachelor's","Midwest",401,"Correct",5,2,2,5,5,5,1,3,2,1,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,0.401560799478044,0.401560799478044
"R00086","65+","Female","Some college","South",539,"Correct",4,3,4,2,3,2,4,5,3,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,2.03204779453607,2.03204779453607
"R00087","18-29","Male","Some college","Northeast",694,"Correct",4,4,4,4,4,4,4,4,4,4,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE,0.641697820079447,0.641697820079447
"R00088","65+","Male","High school or less","West",302,"Correct",2,1,2,1,3,3,4,2,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE,4.65919754581849,3.482883253014
"R00089","30-44","Female","Bachelor's","West",384,"Correct",5,5,4,5,NA,5,4,3,3,2,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE,0.401560799478044,0.401560799478044
"R00090","30-44","Female","High school or less","Midwest",249,"Correct",1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE,0.933061855419799,0.933061855419799
"R00091","65+","Female","Graduate","West",331,"Correct",2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE,1.82592763301113,1.82592763301113
"R00092","45-64","Male","Graduate","Northeast",226,"Correct",1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE,1.27179595919886,1.27179595919886
"R00093","45-64","Male","Bachelor's","Northeast",299,"Correct",5,1,5,2,4,2,3,5,1,4,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,1.04403166676533,1.04403166676533
"R00094","30-44","Female","High school or less","Midwest",769,"Correct",2,3,5,4,3,4,3,1,4,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE,0.933061855419799,0.933061855419799
"R00095","30-44","Female","Graduate","South",701,"Correct",3,4,4,3,4,5,5,4,4,3,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE,0.489164666557602,0.489164666557602
